Task,SubTask,Node,Time
v1,k1,n0,0
v1,k2,n1,1
v1,k3,n2,2
v1,k4,n3,3
v1,k5,n4,4
v1,k6,n5,5
v1,k7,n0,6
v1,k8,n1,7
v1,k9,n2,8
v1,k10,n3,9
v1,k11,n4,10
v1,k12,n5,11
v1,k13,n0,12
v1,k14,n1,13
v1,k15,n2,14
v1,k16,n3,15
v1,k17,n4,16
v1,k18,n5,17
v1,k19,n0,18
v1,k20,n1,19
v1,k21,n2,20
v1,k22,n3,21
v1,k23,n4,22
v1,k24,n5,23
v1,k25,n0,24
v1,k26,n1,25
v1,k27,n2,26
v1,k28,n3,27
v1,k29,n4,28
v1,k30,n5,29
v1,k31,n0,30
v1,k32,n1,31
v1,k33,n2,32
v1,k34,n3,33
v1,k35,n4,34
v1,k36,n5,35
v1,k37,n0,36
v1,k38,n1,37
v1,k39,n2,38
v1,k40,n3,39
v1,k41,n4,40
v1,k42,n5,41
v1,k43,n0,42
v1,k44,n1,43
v1,k45,n2,44
v1,k46,n3,45
v1,k47,n4,46
v1,k48,n5,47
v1,k49,n0,48
v1,k50,n1,49
v1,k51,n2,50
v1,k52,n3,51
v1,k53,n4,52
v1,k54,n5,53
v1,k55,n0,54
v1,k56,n1,55
v1,k57,n2,56
v1,k58,n3,57
v1,k59,n4,58
v1,k60,n5,59
v1,k61,n0,60
v1,k62,n1,61
v1,k63,n2,62
v1,k64,n3,63
v1,k65,n4,64
v1,k66,n5,65
v1,k67,n0,66
v1,k68,n1,67
v1,k69,n2,68
v1,k70,n3,69
v1,k71,n4,70
v1,k72,n5,71
v1,k73,n0,72
v1,k74,n1,73
v1,k75,n2,74
v1,k76,n3,75
v1,k77,n4,76
v1,k78,n5,77
v1,k79,n0,78
v1,k80,n1,79
v1,k81,n2,80
v1,k82,n3,81
v1,k83,n4,82
v1,k84,n5,83
v1,k85,n0,84
v1,k86,n1,85
v1,k87,n2,86
v1,k88,n3,87
v1,k89,n4,88
v1,k90,n5,89
v1,k91,n0,90
v1,k92,n1,91
v1,k93,n2,92
v1,k94,n3,93
v1,k95,n4,94
v1,k96,n5,95
v1,k97,n0,96
v2,k1,n10,0
v2,k2,n11,2
v2,k3,n12,4
v2,k4,n13,6
v2,k5,n14,8
v2,k6,n15,10
v2,k7,n16,12
v2,k8,n17,14
v2,k9,n18,16
v2,k10,n19,18
v2,k11,n20,20
v2,k12,n21,22
v2,k13,n22,24
v2,k14,n23,26
v2,k15,n24,28
v2,k16,n25,30
v2,k17,n26,32
v2,k18,n27,34
v2,k19,n28,36
v2,k20,n29,38
v2,k21,n6,40
v2,k22,n7,42
v2,k23,n8,44
v2,k24,n9,46
v2,k25,n10,48
v2,k26,n11,50
v2,k27,n12,52
v2,k28,n13,54
v2,k29,n14,56
v2,k30,n15,58
v2,k31,n16,60
v2,k32,n17,62
v2,k33,n18,64
v2,k34,n19,66
v2,k35,n20,68
v2,k36,n21,70
v2,k37,n22,72
v2,k38,n23,74
v2,k39,n24,76
v2,k40,n25,78
v2,k41,n26,80
v2,k42,n27,82
v2,k43,n28,84
v2,k44,n29,86
v2,k45,n6,88
v2,k46,n7,90
v2,k47,n8,92
v2,k48,n9,94
v2,k49,n10,96
