value,d,t
100.0,d1,0
100.0,d1,1
100.0,d1,2
99.87690207048301,d1,3
99.75380414096603,d1,4
99.63070621144902,d1,5
99.50760828193204,d1,6
99.38451035241505,d1,7
99.26141242289806,d1,8
99.13831449338106,d1,9
99.01521656386407,d1,10
98.89211863434709,d1,11
98.7690207048301,d1,12
98.6459227753131,d1,13
98.52282484579611,d1,14
98.39972691627912,d1,15
98.27662898676213,d1,16
98.15353105724513,d1,17
98.03043312772814,d1,18
97.90733519821116,d1,19
97.78423726869417,d1,20
97.66113933917718,d1,21
97.53804140966018,d1,22
97.4149434801432,d1,23
97.2918455506262,d1,24
97.16874762110922,d1,25
97.04564969159222,d1,26
96.92255176207523,d1,27
96.79945383255824,d1,28
96.67635590304126,d1,29
96.55325797352425,d1,30
96.43016004400727,d1,31
96.30706211449028,d1,32
96.18396418497329,d1,33
96.06086625545629,d1,34
95.9377683259393,d1,35
95.81467039642231,d1,36
95.52524739376364,d1,37
95.23582439110497,d1,38
94.94640138844629,d1,39
94.65697838578761,d1,40
94.36755538312894,d1,41
94.07813238047027,d1,42
93.78870937781159,d1,43
93.4992863751529,d1,44
93.20986337249424,d1,45
92.92044036983566,d1,46
92.63101736717698,d1,47
92.3415943645183,d1,48
92.3415943645183,d1,49
92.3415943645183,d1,50
92.3415943645183,d1,51
92.3415943645183,d1,52
92.3415943645183,d1,53
92.3415943645183,d1,54
92.3415943645183,d1,55
92.3415943645183,d1,56
92.3415943645183,d1,57
92.3415943645183,d1,58
92.3415943645183,d1,59
92.3415943645183,d1,60
92.3415943645183,d1,61
92.3415943645183,d1,62
92.3415943645183,d1,63
92.3415943645183,d1,64
92.05217136185962,d1,65
91.76274835920094,d1,66
91.47332535654226,d1,67
91.18390235388358,d1,68
90.8944793512249,d1,69
90.60505634856622,d1,70
90.31563334590754,d1,71
90.02621034324886,d1,72
89.73678734059018,d1,73
89.4473643379315,d1,74
89.15794133527282,d1,75
88.86851833261414,d1,76
88.75064742608552,d1,77
88.6327765195569,d1,78
88.51490561302828,d1,79
88.39703470649965,d1,80
88.27916379997103,d1,81
88.16129289344241,d1,82
88.04342198691378,d1,83
87.92555108038516,d1,84
87.80768017385654,d1,85
87.68980926732792,d1,86
87.5719383607993,d1,87
87.5719383607993,d1,88
87.5719383607993,d1,89
87.5719383607993,d1,90
87.5719383607993,d1,91
87.5719383607993,d1,92
87.5719383607993,d1,93
87.5719383607993,d1,94
87.5719383607993,d1,95
87.5719383607993,d1,96
